league,position,team,matches,seasons,first_match,last_match,corners_for_avg,corners_against_avg,corners_total_avg,shots_for_avg,shots_on_for_avg,raw_index,ci,grade,enough_data,corners_for,corners_against,shots_for,shots_against,league_id,team_id
Bundesliga (Германия),1,Hamburg,34,2025/26,2025-08-24,2026-05-16,3.68,5.85,9.53,12.29,4.56,3.344,100.0,A+,True,125,199,418,494,D1,
Bundesliga (Германия),2,Holstein Kiel,34,2024/25,2024-08-24,2025-05-17,3.53,6.59,10.12,10.79,4.15,3.058,71.7,A,True,120,224,367,550,D1,
Bundesliga (Германия),3,Freiburg,68,2024/25+2025/26,2024-08-24,2026-05-16,4.0,4.25,8.25,12.06,4.22,3.015,67.4,B,True,272,289,820,902,D1,
Bundesliga (Германия),4,Bayern Munich,68,2024/25+2025/26,2024-08-25,2026-05-16,6.4,3.06,9.46,19.0,8.21,2.97,62.9,B,True,435,208,1292,590,D1,
Bundesliga (Германия),5,FC Koln,34,2025/26,2025-08-24,2026-05-16,4.62,5.53,10.15,13.38,4.59,2.898,55.8,B,True,157,188,455,464,D1,
Bundesliga (Германия),6,M'gladbach,68,2024/25+2025/26,2024-08-23,2026-05-16,4.21,5.07,9.28,11.88,4.51,2.825,48.6,C,True,286,345,808,1062,D1,
Bundesliga (Германия),7,RB Leipzig,68,2024/25+2025/26,2024-08-24,2026-05-16,5.01,4.91,9.93,13.88,5.24,2.768,42.9,C,True,341,334,944,911,D1,
Bundesliga (Германия),8,Werder Bremen,68,2024/25+2025/26,2024-08-24,2026-05-16,4.63,4.88,9.51,12.72,4.22,2.746,40.7,C,True,315,332,865,931,D1,
Bundesliga (Германия),9,Ein Frankfurt,68,2024/25+2025/26,2024-08-24,2026-05-16,4.81,4.81,9.62,13.04,5.0,2.713,37.5,C,True,327,327,887,887,D1,
Bundesliga (Германия),10,Augsburg,68,2024/25+2025/26,2024-08-24,2026-05-16,4.59,5.31,9.9,12.41,4.1,2.705,36.7,C,True,312,361,844,953,D1,
Bundesliga (Германия),11,Heidenheim,68,2024/25+2025/26,2024-08-25,2026-05-16,4.32,4.97,9.29,11.69,3.78,2.704,36.6,C,True,294,338,795,978,D1,
Bundesliga (Германия),12,Bochum,33,2024/25,2024-08-24,2025-05-17,4.82,5.36,10.18,12.85,4.15,2.667,32.9,C,True,159,177,424,459,D1,
Bundesliga (Германия),13,Wolfsburg,68,2024/25+2025/26,2024-08-25,2026-05-16,4.65,6.34,10.99,12.37,4.24,2.661,32.3,C,True,316,431,841,993,D1,
Bundesliga (Германия),14,Stuttgart,68,2024/25+2025/26,2024-08-24,2026-05-16,5.49,4.49,9.97,14.49,5.76,2.641,30.3,C,True,373,305,985,812,D1,
Bundesliga (Германия),15,Union Berlin,67,2024/25+2025/26,2024-08-24,2026-05-16,4.7,4.85,9.55,12.22,3.78,2.6,26.3,D,True,315,325,819,846,D1,
Bundesliga (Германия),16,Hoffenheim,68,2024/25+2025/26,2024-08-24,2026-05-16,5.21,5.18,10.38,13.51,4.85,2.596,25.9,D,True,354,352,919,897,D1,
Bundesliga (Германия),17,Leverkusen,68,2024/25+2025/26,2024-08-23,2026-05-16,5.97,3.75,9.72,15.03,5.41,2.517,18.0,D,True,406,255,1022,772,D1,
Bundesliga (Германия),18,Dortmund,68,2024/25+2025/26,2024-08-24,2026-05-16,5.47,4.07,9.54,13.59,4.82,2.484,14.8,D,True,372,277,924,737,D1,
Bundesliga (Германия),19,Mainz,68,2024/25+2025/26,2024-08-24,2026-05-16,4.94,4.84,9.78,12.15,4.28,2.458,12.2,D,True,336,329,826,940,D1,
Bundesliga (Германия),20,St Pauli,68,2024/25+2025/26,2024-08-25,2026-05-16,4.56,4.84,9.4,10.65,3.35,2.335,0.0,D,True,310,329,724,801,D1,
La Liga (Испания),1,Leganes,38,2024/25,2024-08-17,2025-05-24,2.97,6.37,9.34,9.13,3.11,3.071,100.0,A+,True,113,242,347,570,SP1,
La Liga (Испания),2,Levante,38,2025/26,2025-08-16,2026-05-23,4.26,5.92,10.18,12.55,3.89,2.944,88.0,A+,True,162,225,477,583,SP1,
La Liga (Испания),3,Betis,76,2024/25+2025/26,2024-08-15,2026-05-23,4.84,4.7,9.54,14.04,4.91,2.899,83.8,A,True,368,357,1067,886,SP1,
La Liga (Испания),4,Villarreal,76,2024/25+2025/26,2024-08-19,2026-05-24,4.5,4.82,9.32,12.93,4.62,2.874,81.5,A,True,342,366,983,970,SP1,
La Liga (Испания),5,Elche,38,2025/26,2025-08-18,2026-05-23,3.79,4.5,8.29,10.79,3.82,2.847,78.9,A,True,144,171,410,526,SP1,
